Worker Id,User quit ?,Worker Score,Worker Experience,Years Programming,Worker Gender,Worker Age,Worker Country,Prog Language,Learned on,#HITs,#Questions Answered,#Yes,#No's,#IDK,Difficulty Average,Confidence Average,Answer Duration Average,Day of most answers,#Expected Yes,#Expected No's,Optimism(Yes'/Expected Yes's),Pessimism(No'/Expected No's),#True Positives,#True Negatives,#False Positives,#False Negatives,#IDK2,Total,,,
1045ic-6G5g684,Failed Test,0,Graduate_Student,0,Male,38,India,I am not using any programming languages because i am a non-IT person.,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1163iG4G0c-975,Failed Test,20,Graduate_Student,0,Female,24,USA,English,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1412cA-8c0i-2-31,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
338eI-3e-1g-954,Failed Test,-1,Graduate_Student,0,Female,24,united states,english,High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
771Ge-7E0E-8-8-7,Failed Test,-1,Graduate_Student,0,Female,29,USA,Unknown,Other Don't know how,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
692iE-2a-1C0-52,Failed Test,20,Graduate_Student,0,Male,34,USA,none,Other novice,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
696ei0I-8c-91-3,Failed Test,40,Graduate_Student,0,Male,22,america,nill,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
117ec0C-7a-606,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
464cg5G-7e80-3,Failed Test,40,Graduate_Student,0,Female,31,usa,none,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
526Gi-4a0G-15-4,Failed Test,-1,Graduate_Student,1,Female,26,India,java,-,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
97ci7A-6e537:520EG-8e-4a-42-5,Completed Tasks,100,Graduate_Student,1,Female,26,India,java,University,5,11,8,3,0,3,3,43.18272727,4,1,10,8,0.3,0,2,8,1,0,11,,,0
532iI4C2G-8-35,Completed Tasks,100,Graduate_Student,1,Female,26,India,java,University,1,3,1,2,0,3,4,46.954,1,0,3,0,0.666666667,0,2,1,0,0,3,,,0
1262cE2g7c-6-29,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1002Gg2I9i8-6-3,Failed Test,-1,Graduate_Student,1,Male,32,USA,html,"University,Web",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
43gc2a6g4-6-2,Failed Test,20,Graduate_Student,1,Female,22,United States,HTML,High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1677Ag-6E6g-7-3-7,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
3IA-4e-2A-20-1,Failed Test,40,Graduate_Student,1,Male,22,USA,Java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
487CI-1A-2e407,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
30EI-1g5G-52-7,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
500ae5C-5G313,Failed Test,40,Graduate_Student,1,Female,24,US,java,High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
559ca2I9c-49-5,Failed Test,40,Graduate_Student,1,Male,24,US,R,"University,Web",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1366CG-9C-6i-5-40,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
45GI4e4I-2-75,Failed Test,40,Graduate_Student,1,Male,25,Roumania,english,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
156AE-5C2G89-5,Failed Test,20,Graduate_Student,1,Female,21,India,c,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
150ea6i8c-80-7,Failed Test,0,Graduate_Student,1,Female,28,U.S.A.,HTMLS,High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1562gC9I-3g002,Failed Test,40,Graduate_Student,1,Male,38,India,nothing,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
683gc0e-1e-7-8-4,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1113ce-5c0I-208,Failed Test,-1,Graduate_Student,1,Female,30,california,english,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
104EA8a6e0-10,Completed Tasks,100,Graduate_Student,1,Male,26,india,c,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
4aI-6a0I9-2-5,Failed Test,40,Graduate_Student,1,Male,23,India,"Java,PHP",University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
4IC-5i7I612:81ia8g6g-3-69:10IE-1i1e662,Completed Tasks,80,Graduate_Student,1,Male,29,INDIA,java,University,5,13,4,9,0,4,4,25.01515385,7,0,13,0,0.692307692,0,9,4,0,0,13,,,0
134cI0C-4a99-8,Failed Test,20,Graduate_Student,1,Male,29,usa,java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
171AI2C-1C-514,Failed Test,40,Graduate_Student,1,Male,23,India,asp.net,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1578ic-2G2A570,Failed Test,40,Graduate_Student,1,Male,25,Macedonia,c++,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1365cA0A-5C2-50,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
75Ei-8A9C4-76,Completed Tasks,80,Graduate_Student,1,Female,37,India,java,University,1,3,1,2,0,4,4,110.196,1,2,1,0.5,2,1,1,0,1,0,3,,,0
985AG2C4g-61-6,Completed Tasks,60,Graduate_Student,1,Female,34,India,C,University,1,3,1,2,0,3,3,1234.740667,2,1,2,1,1,0,1,1,1,0,3,,,0
1617AC6e-2G647,Failed Test,20,Graduate_Student,1,Male,28,USA,Python,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
19AA-4C4C-661,Failed Test,40,Graduate_Student,1,Female,35,usa,A+,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
149eC1C1i-70-9,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
406cI-5A0g-91-1,Quit,60,Graduate_Student,1,Male,33,Romania,Swift,Web,1,2,0,0,2,4,0,69.25,1,0,2,0,0,0,0,0,0,2,2,,,0
40eE3E-4c-103,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
162EC-9C1G-9-8-2,Completed Tasks,60,Graduate_Student,1,Female,25,uk,C,Web,2,1,1,0,0,3,3,712.815,1,0,1,0,0,0,0,1,0,0,1,,,0
342Ic1C-4G-4-99,Failed Test,20,Graduate_Student,1,Male,24,India,C,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
465ie-9I5c11-4,Quit,-1,Graduate_Student,1,Female,28,India,"C, C++, JAVA",University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
688ee7C8I8-27,Failed Test,20,Graduate_Student,1,Male,24,UNITED STATES,C++,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
83CI0g0g534,Failed Test,-1,Graduate_Student,1,Male,32,USA,Java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1627eC8e9C-7-3-6,Failed Test,20,Graduate_Student,1,Male,28,USA,Python,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1077EI-8C-2a70-4,Failed Test,20,Graduate_Student,1,Male,21,india,java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
305aG4C-7c-466,Failed Test,40,Graduate_Student,1,Male,57,USA,javascript,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
831Ic0A5e81-4,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
524Ca-7A-8i2-60,Failed Test,40,Graduate_Student,1,Male,24,united states,C language,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1075ie2g6c700,Failed Test,-1,Graduate_Student,1,Male,30,india,"c,cpp,j2se",University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
943gi-1A9e-2-5-2,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1185Gc5A-6c-408,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1530IA1a-2I-4-4-8,Failed Test,-1,Graduate_Student,1,Female,24,united States,not sure,High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
18Ec3I-1i-3-8-7,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
164gg2E6I-507,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
725ii-7g0E506,Failed Test,-1,Graduate_Student,1,Female,30,india,c,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
580EG5g-8A-8-23,Failed Test,-1,Graduate_Student,1,Male,29,usa,j++,-,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
475ig-4g1i713,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
580Ie-3i-1c68-1,Failed Test,40,Graduate_Student,1,Male,22,india,c,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
753eI7g-6a028,Failed Test,0,Graduate_Student,1,Male,29,INDIA,java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
320iG-6i-5A44-2,Failed Test,20,Graduate_Student,1,Male,27,USA,HTML,High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
142iI0a3C-8-66,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
651ac-1g0E0-70,Failed Test,20,Graduate_Student,1,Female,21,United States,"c, c++",High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1388Ce-6C9A-683,Completed Tasks,80,Graduate_Student,1,Male,29,INDIA,java,University,1,3,0,3,0,5,5,55.49533333,3,0,3,0,1,0,3,0,0,0,3,,,0
618ie-2E-4e-28-5,Failed Test,40,Graduate_Student,1,Male,23,India,c++,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
197cg6I-3c-83-4,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
476ei-4e-5c-5-1-3,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
751Ac1I5E952,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1351Aa5A-2G6-3-3,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
555aC0a8e4-8-3:535CE8A-5e-95-2,Completed Tasks,60,Graduate_Student,1,Female,25,USA,java,University,6,15,6,7,2,2,3,823.8050667,2,3,12,2,0.583333333,2,7,4,0,2,15,,,0
47ag9I-4I-1-67,Quit,-1,Graduate_Student,1,Female,28,India,"C, C++, JAVA",University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
681EI-3c-5E438,Failed Test,-1,Graduate_Student,1,Male,24,USA,java,High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
50EA1C-8g4-6-2,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
33iG3G0G6-3-7,Failed Test,20,Graduate_Student,1,Female,31,USA,English,"High School,University",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1477CG-1a0I25-4,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
692Gc-7C4I-9-92,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1459gG-8A6i-35-1,Failed Test,-1,Graduate_Student,1,Female,24,United States,Python,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
309aa-5I-2c272,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
269Ge0E-6a-5-31,Failed Test,0,Graduate_Student,1,Female,29,india,c,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1626ga5G6i-9-6-3,Failed Test,0,Graduate_Student,1,Male,28,USA,Python,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1271Ic-1G-3I6-22,Failed Test,0,Graduate_Student,1,Male,35,united states,java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
325GA0i3g393,Failed Test,40,Graduate_Student,1,Female,25,United States,BASIC,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
35Ac4G-4i-94-7,Failed Test,20,Graduate_Student,1,Female,26,United States,C,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1357cG2E-6i0-4-2,Failed Test,-1,Graduate_Student,1,Male,30,india,"c,c++,core java",University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
62ie3i1E101,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
748iG0c7C3-5-1,Failed Test,0,Graduate_Student,1,Male,25,india,"Java ,c",University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
414Cc-3c0a-2-7-8,Failed Test,40,Graduate_Student,1,Female,26,usa,JAVA,High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1348aI8e-6A-5-3-7,Failed Test,20,Graduate_Student,1,Female,32,INDIA,Java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
621cI-3i7g-220,Failed Test,0,Graduate_Student,1,Male,22,india,c++,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1359aA0A-5i-692,Completed Tasks,60,Graduate_Student,1,Male,27,India,c,University,1,2,1,1,0,2,2,74.271,3,1,1,1,1,1,1,0,0,0,2,,,0
2AC-5G-1a5-8-2,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1625Cc2c-3A0-66,Failed Test,0,Graduate_Student,1,Male,28,USA,Python,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
119eI6a-7G121,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
457ae0c6c0-50,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1301EC4a6G0-99,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1243AI0C-4E-3-10,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1188AE-6c-3a-6-46,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
352ce-9G-6g-307,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
101CI8G-8A307,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
635iG4g3G80-1,Failed Test,0,Graduate_Student,1,Male,25,India,C+,"University,Web",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
856gC5E-9G-49-1,Failed Test,0,Graduate_Student,1,Female,29,India,Java,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
612Ai1i2E17-4,Failed Test,-1,Graduate_Student,1,Male,23,india,dot net,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
62cC7c-5G-6-38,Failed Test,40,Graduate_Student,1,Male,25,india,java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
624AG-8I-7e-607,Failed Test,0,Graduate_Student,1,Male,33,india,php,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
413eC8E9i-7-6-8,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
289gg0i-7a68-3,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
949Eg-9a-5G66-5,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1317Ic-1i-1G-75-7,Failed Test,20,Graduate_Student,1,Male,22,america,html,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
359iC-5I-7a-30-3,Failed Test,0,Graduate_Student,1,Female,25,usa,english,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
107EE-5A9I-8-41,Completed Tasks,60,Graduate_Student,1,Male,22,USA,Java,University,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
636EG-6G-9a416,Failed Test,20,Graduate_Student,1,Female,37,United States,"C, C++",University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
686EC-4c3E449,Failed Test,-1,Graduate_Student,1,Male,27,South Africa,JavaScript,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
551CC-4G6I07-3,Failed Test,-1,Graduate_Student,1,Male,29,India,java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1083iE2e-1i006,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
742Ie0E-5C-12-8,Failed Test,40,Graduate_Student,1,Male,25,india,c++,"University,Web",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
494gg-5i2I0-76,Completed Tasks,100,Graduate_Student,1,Male,26,United States,C++,Web,3,9,2,7,0,3,3,180.194,1,2,7,1,1,1,6,1,1,0,9,,,0
1467ea-6a-8c-66-4,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1015Ae5I-4I718,Failed Test,0,Graduate_Student,1,Male,43,USA,basic,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
8Cc2I5c-4-7-3,Quit,-1,Graduate_Student,1,Female,20,India,.NET,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1151ce-3g0e-73-1,Failed Test,20,Graduate_Student,1,Male,25,USA,Java,"High School,University,Web",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
971ee-5I5i-1-93,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
108Ac4A0C-7-90,Failed Test,40,Graduate_Student,1,Female,27,USA,HTML,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
609cI-2c3e-959,Failed Test,0,Graduate_Student,1,Male,25,india,"Java ,c",University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
900Ae4g7C50-5,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
5Aa9c-3A-27-8,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
386eG-6c2A-595,Failed Test,20,Graduate_Student,1,Male,22,india,c,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
13ec-3G1G6-11,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
863iI-7e0E5-68,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
915cc-9A-8C00-1,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
13gA6E0e51-3,Failed Test,-1,Graduate_Student,1,Male,27,USA,C++,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1391EE0e0I33-4,Failed Test,-1,Graduate_Student,1,Male,29,INDIA,java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
540Ii8e8i-3-68,Failed Test,20,Graduate_Student,1,Male,24,USA,java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1228Eg-6C1E-708,Failed Test,20,Graduate_Student,1,Male,26,USA,Python,"High School,Web",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
71Ci3A4i306,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
825GA-3i-2c-4-3-1,Quit,-1,Graduate_Student,1,Male,38,India,Java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
112EE5c6a-55-9,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1234Ec1I9C02-2,Failed Test,20,Graduate_Student,1,Female,23,USA,English,High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
256ai-9C-4A-2-5-9,Completed Tasks,100,Graduate_Student,10,Male,29,US,"Java,C/C++","University,Web,Other Professional",1,1,0,1,0,2,5,198.107,1,0,1,0,1,0,1,0,0,0,1,,,0
1472eg0C1g20-7,Failed Test,40,Graduate_Student,10,Male,30,USA,JavaScript,Web,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
706CI7G5A5-62,Failed Test,0,Graduate_Student,10,Male,29,United States,HTML,"High School,University",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
801iG-2I-2G450,Completed Tasks,80,Graduate_Student,10,Male,36,usa,python,"University,Web",2,5,2,0,3,3,1,297.1066,2,0,5,0,0,0,0,2,0,3,5,,,0
1349ge-8G-9g-352,Failed Test,20,Graduate_Student,10,Male,27,Nepal,English,High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
1282AG0g7g3-25,Failed Test,-1,Graduate_Student,10,Male,31,United States of America,"C+, C++, ASP.net, java, PHP",University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
729GG8e-8G-263:66AA0C-8E701,Completed Tasks,100,Graduate_Student,10,Male,25,US,C++,"High School,University,Web",2,5,1,4,0,2,4,549.8454,6,1,4,1,1,1,4,0,0,0,5,,,0
1330Ie9C-8c236,Completed Tasks,60,Graduate_Student,10,Female,26,united states,"c++, java, php, mysql","High School,University",1,3,0,2,1,4,1,333.6866667,3,0,3,0,0.666666667,0,2,0,0,1,3,,,0
522ai1E-1g0-91,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
929EA0I7G-35-9,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
1446eG-2a8i0-91,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
59gA3i5E2-7-9:249IE-2a8E-92-1,Completed Tasks,100,Graduate_Student,12,Male,40,Colombia,C++,"University,Web",7,21,6,13,2,2,3,238.7131905,1,5,16,1.2,0.8125,4,12,2,1,2,21,,,0
1528Ca3I-5e-3-1-9,Quit without reason,-1,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,
11gg-4a-4E270,Failed Test,20,Graduate_Student,12,Male,28,India,"C,PHP",High School,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
342AC5I0i32-2,Failed Test,-1,Graduate_Student,12,Male,34,USA,Java,University,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0
