workerID,fileName,score,profession,gender,yearsOfProgramming,country,programmingLanguage,IDKLevel,TP,TN,FP,FN,CorrectAnswers,TotalAnswers
844Cg1g5e1-17:255ei-8G8E85-8,J3.6,3.00,Undergraduate_Student,Male,5.00,US,JAVA,1.00,1.00,1.00,0.00,0.00,2.00,2.00
111cC-2A4C-582,J6.51,4.00,Other,Female,5.00,US,c sharp,0.00,0.00,1.00,0.00,0.00,1.00,1.00
658ge-9g0G8-33,J8.54,4.00,Professional_Developer,Male,5.00,US,JAVA,0.00,0.00,2.00,1.00,0.00,2.00,3.00
1197gc5c3c27-5,J6.51,4.00,Other,Male,1.00,US,JAVA,0.00,0.00,2.00,0.00,1.00,2.00,3.00
133Ac-8e0G-703:189Ii1E-1G-123,J5.35,5.00,Hobbyist,Male,33.00,US,C++,0.00,1.00,0.00,2.00,0.00,1.00,3.00
108Eg9e-4i-5-42,J4.7,5.00,Professional_Developer,Male,3.00,INDIA,C#,1.00,0.00,1.00,0.00,0.00,1.00,1.00
610AC-4i9c4-2-7,J8.54,5.00,Undergraduate_Student,Male,2.00,US,Ada,0.00,0.00,3.00,0.00,0.00,3.00,3.00
1341Ci-4e-9a-707,J4.7,5.00,Graduate_Student,Male,2.00,US,JAVA,2.00,0.00,0.00,0.00,0.00,0.00,0.00
249iI-4G-6A9-26,J8.54,3.00,Hobbyist,Male,1.00,INDIA,ASP.NET,0.00,2.00,0.00,1.00,0.00,2.00,3.00
733aA0i-2G-80-7,J4.7,4.00,Graduate_Student,Male,8.00,US,Python,2.00,0.00,1.00,0.00,0.00,1.00,1.00
659ei-2E2a2-1-2,J1.8,5.00,Hobbyist,Female,1.00,US,none,0.00,0.00,2.00,0.00,0.00,2.00,2.00
647GI-5i-2i140,J8.54,3.00,Undergraduate_Student,Female,0.00,US,n/a,0.00,0.00,3.00,0.00,0.00,3.00,3.00
244AC3a5C68-6,J8.54,3.00,Undergraduate_Student,Male,17.00,US,JAVA,0.00,0.00,2.00,1.00,0.00,2.00,3.00
815IG-6E-2c4-2-5,J4.7,5.00,Undergraduate_Student,Male,4.00,US,JAVA,2.00,0.00,1.00,0.00,0.00,1.00,1.00
446ic-1c-4E-1-37,J7.33,4.00,Professional_Developer,Male,12.00,US,ruby,0.00,0.00,1.00,1.00,0.00,1.00,2.00
562ag5I-9E-7-5-6,J8.54,5.00,Other,Male,30.00,US,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
42iE-7g1i478,J6.51,5.00,Professional_Developer,Female,10.00,US,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
21Ig2A-5e0-88:292CE-5a2c86-4:60ei9e-5I04-3,J1.8,4.00,Professional_Developer,Male,12.00,US,"C#, Python",0.00,0.00,3.00,0.00,0.00,3.00,3.00
103Ee-8a6i-3-7-8:873AG0a3i770,J4.7,4.00,Professional_Developer,Male,10.00,US,JAVA,0.00,0.00,2.00,1.00,0.00,2.00,3.00
998eE-6g-2A350:631gg-5g6c-980,J3.6,4.00,Hobbyist,Male,3.00,US,C#,0.00,0.00,1.00,2.00,0.00,1.00,3.00
1591gc8E-5I9-17,J4.7,3.00,Professional_Developer,Male,10.00,US,SQL (Teradata/MS-SQL),0.00,0.00,3.00,0.00,0.00,3.00,3.00
755ec4i1a-48-7,J4.7,4.00,Professional_Developer,Male,3.00,INDIA,JAVA,0.00,1.00,2.00,0.00,0.00,3.00,3.00
81Eg-4I3c241,J4.7,4.00,Undergraduate_Student,Male,1.00,US,C++,3.00,0.00,0.00,0.00,0.00,0.00,0.00
307Cg-5C7a4-4-3:881AI5C9I3-85,J4.7,4.00,Professional_Developer,Male,4.00,US,JAVA,0.00,1.00,2.00,0.00,0.00,3.00,3.00
276ee1A-3E7-54,J7.33,5.00,Hobbyist,Male,3.00,INDIA,PHP,1.00,0.00,0.00,1.00,1.00,0.00,2.00
634IG7i-7a941,J8.54,4.00,Undergraduate_Student,Male,4.00,US,C,0.00,0.00,1.00,0.00,0.00,1.00,1.00
1120Ea6I-1G6-6-6,J4.7,5.00,Other,Male,30.00,US,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
286Ig-9C0E170,J1.8,5.00,Undergraduate_Student,Male,5.00,US,c#,0.00,1.00,2.00,0.00,0.00,3.00,3.00
273EI-8I-8g2-1-7,J8.54,4.00,Undergraduate_Student,Male,1.00,US,JAVA,1.00,0.00,1.00,0.00,1.00,1.00,2.00
973gC1A-4g040,J6.51,5.00,Undergraduate_Student,Male,2.00,US,JAVA,0.00,0.00,1.00,1.00,1.00,1.00,3.00
468Ga1a7a1-81,J8.54,3.00,Hobbyist,Male,2.00,US,C++,1.00,0.00,0.00,2.00,0.00,0.00,2.00
101CE0E8G-6-88,J2.24,3.00,Undergraduate_Student,Male,3.00,US,JAVA,0.00,2.00,0.00,1.00,0.00,2.00,3.00
1080iE3G5I-102,J8.54,5.00,Hobbyist,Female,1.00,INDIA,python,0.00,0.00,1.00,1.00,1.00,1.00,3.00
3AI7C4g38-9,J2.24,3.00,Hobbyist,Male,12.00,US,HTML,0.00,0.00,0.00,3.00,0.00,0.00,3.00
433Ae7e8c5-90,J4.7,5.00,Professional_Developer,Female,6.00,INDIA,"PHP,MySQL",1.00,0.00,0.00,1.00,0.00,0.00,1.00
220aC0I-6a0-6-3,J8.54,5.00,Professional_Developer,Female,8.00,US,C,0.00,0.00,3.00,0.00,0.00,3.00,3.00
638ic-5a-8a06-2,J3.6,3.00,Hobbyist,Male,3.00,US,VBA,1.00,0.00,1.00,1.00,0.00,1.00,2.00
87eI7G7i8-2-1,J4.7,3.00,Undergraduate_Student,Female,2.00,US,JAVA,1.00,0.00,0.00,0.00,0.00,0.00,0.00
939aC8g5A220,J4.7,4.00,Professional_Developer,Female,15.00,INDIA,php,0.00,0.00,1.00,2.00,0.00,1.00,3.00
208Ic-2C0G2-11,J1.8,5.00,Other,Male,20.00,US,c++,0.00,0.00,2.00,1.00,0.00,2.00,3.00
166IC5e-3e-7-6-5,J8.54,5.00,Undergraduate_Student,Female,1.00,US,JAVA,0.00,0.00,1.00,1.00,1.00,1.00,3.00
642ci9c-9e-580:266ee6e-1I61-3,J3.6,4.00,Other,Male,6.00,US,PHP,3.00,0.00,0.00,0.00,0.00,0.00,0.00
540Ec0I1E97-8,J4.7,5.00,Undergraduate_Student,Female,3.00,US,JAVA,0.00,0.00,2.00,0.00,1.00,2.00,3.00
935Ei-8e-1E-7-9-7,J4.7,5.00,Professional_Developer,Male,25.00,US,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
48AI-2e-3i700:595II-6A9A7-4-4,J8.54,5.00,Undergraduate_Student,Male,2.00,US,JAVA,0.00,1.00,1.00,0.00,1.00,2.00,3.00
490Ae3C-5I-6-75,J8.54,3.00,Professional_Developer,Female,10.00,US,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
762AG-5i5a030,J4.7,5.00,Undergraduate_Student,Male,6.00,Brazil,C,0.00,0.00,3.00,0.00,0.00,3.00,3.00
15GG-1G-6I44-8:1540CE2g-7G26-4,J1.8,5.00,Professional_Developer,Male,10.00,US,php,0.00,1.00,1.00,0.00,0.00,2.00,2.00
537Cg0e-7E-5-68,J4.7,5.00,Other,Female,30.00,US,C,1.00,0.00,2.00,0.00,0.00,2.00,2.00
98cg8a0A69-1:439ee9e-2i-106,J8.54,4.00,Undergraduate_Student,Male,4.00,US,C++,0.00,0.00,3.00,0.00,0.00,3.00,3.00
1520Ea3c0E3-65:9AI0g4a-386,J1.8,5.00,Graduate_Student,Male,3.00,INDIA,JAVA,0.00,1.00,0.00,1.00,0.00,1.00,2.00
1572IG5e2A7-8-1,J4.7,4.00,Undergraduate_Student,Male,4.00,US,"C++,Python",0.00,0.00,2.00,1.00,0.00,2.00,3.00
51EA-5e8I01-5,J4.7,4.00,Hobbyist,Female,3.00,US,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
794gi1e-9c3-70,J4.7,4.00,Professional_Developer,Male,5.00,INDIA,"C,C++,C#",0.00,1.00,1.00,1.00,0.00,2.00,3.00
891Ia8E-1I7-93,J4.7,3.00,Graduate_Student,Male,2.00,INDIA,c++,0.00,0.00,3.00,0.00,0.00,3.00,3.00
73EA0a-7i-7-8-9,J4.7,5.00,Graduate_Student,Male,4.00,US,C++,0.00,1.00,2.00,0.00,0.00,3.00,3.00
1557AI-3a0g03-3,J1.8,5.00,Other,Female,10.00,US,JAVA,0.00,0.00,2.00,0.00,0.00,2.00,2.00
1456eI-3g8a-22-2:488gG-7E2G-8-68,J4.7,4.00,Other,Male,2.50,US,Do not currently use,1.00,0.00,1.00,0.00,1.00,1.00,2.00
87gg-4A6E-40-7,J1.8,5.00,Hobbyist,Female,1.00,US,C#,1.00,0.00,1.00,0.00,0.00,1.00,1.00
63GI-8C5a906:400EE-2a-6c-4-89,J8.54,4.00,Other,Male,50.00,US,"vbs, c/c++, autoit",0.00,0.00,2.00,0.00,1.00,2.00,3.00
619cG-3e8i71-7,J8.54,5.00,Professional_Developer,Female,6.00,US,JAVA,0.00,1.00,1.00,1.00,0.00,2.00,3.00
1194GI0G8E7-20,J2.24,5.00,Professional_Developer,Male,20.00,US,C++,0.00,0.00,3.00,0.00,0.00,3.00,3.00
507CG0A-2i1-4-3,J4.7,5.00,Professional_Developer,Male,7.00,INDIA,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
1559gE-3I4e-4-52,J1.8,4.00,Professional_Developer,Female,7.00,US,JAVA,0.00,0.00,2.00,0.00,0.00,2.00,2.00
467CA-3A-4i-62-9:7Ci-3c0I02-7:13ee0c8e-90-9,J7.33,5.00,Hobbyist,Male,5.00,US,Python,0.00,1.00,1.00,0.00,1.00,2.00,3.00
114eE1e0a9-5-8:820Ie-3c1C-85-5,J2.24,5.00,Professional_Developer,Male,10.00,US,C#,0.00,1.00,0.00,1.00,1.00,1.00,3.00
1098Ai-4G6a330,J4.7,4.00,Undergraduate_Student,Male,3.00,US,python,1.00,0.00,2.00,0.00,0.00,2.00,2.00
562iC0e2c-7-5-1,J3.6,4.00,Undergraduate_Student,Male,3.00,US,JAVA,0.00,0.00,1.00,1.00,1.00,1.00,3.00
20iA3a-7c0-89:98iC3e-9a0-9-6:82Ig0g4c090,J3.6,5.00,Professional_Developer,Male,2.00,INDIA,C++,0.00,0.00,1.00,0.00,2.00,1.00,3.00
1221iC8A5A242:495CC9e6a691:11aE2c-4c-9-86,J1.8,4.00,Undergraduate_Student,Male,4.00,US,C++,0.00,1.00,2.00,0.00,0.00,3.00,3.00
1244ie-4G-4g486,J6.51,4.00,Professional_Developer,Male,3.00,US,JAVA,0.00,0.00,2.00,0.00,1.00,2.00,3.00
471gc-7A-8e4-73,J8.54,3.00,Professional_Developer,Male,18.00,US,6,0.00,0.00,2.00,1.00,0.00,2.00,3.00
259AI0i0a84-8,J8.54,3.00,Hobbyist,Female,0.00,US,none,0.00,0.00,1.00,2.00,0.00,1.00,3.00
293iG4A-3I005,J3.6,4.00,Other,Female,30.00,US,C,0.00,1.00,1.00,1.00,0.00,2.00,3.00
398Ca1e4I7-8-4,J3.6,5.00,Professional_Developer,Male,5.00,INDIA,JAVA,2.00,0.00,1.00,0.00,0.00,1.00,1.00
1231Ce3g6C290,J6.51,5.00,Professional_Developer,Male,10.00,US,PHP,1.00,0.00,1.00,0.00,1.00,1.00,2.00
55eg3A1g1-8-9,J4.7,5.00,Professional_Developer,Male,3.00,US,JAVA,0.00,0.00,2.00,0.00,1.00,2.00,3.00
732aC-4C4C-7-2-1,J4.7,3.00,Undergraduate_Student,Female,4.00,US,"C++, Assembly, VHDL",0.00,0.00,2.00,1.00,0.00,2.00,3.00
1638EA0g0c-27-2,J4.7,4.00,Undergraduate_Student,Female,2.00,US,JAVA,0.00,0.00,2.00,1.00,0.00,2.00,3.00
45ea8E6e0-10:95cg-5I0I151,J8.54,4.00,Professional_Developer,Male,22.00,US,JAVA,0.00,0.00,1.00,2.00,0.00,1.00,3.00
1499aa-2I7G-47-7,J4.7,4.00,Hobbyist,Male,2.00,US,C++,0.00,0.00,2.00,1.00,0.00,2.00,3.00
71gE-6g-5A-3-20,J8.54,5.00,Professional_Developer,Male,12.00,US,JAVA,0.00,2.00,1.00,0.00,0.00,3.00,3.00
740Ce1I9I-71-7,J8.54,5.00,Professional_Developer,Male,20.00,INDIA,PHP,0.00,0.00,2.00,0.00,1.00,2.00,3.00
1249cG4e7C7-70,J6.51,4.00,Professional_Developer,Male,15.00,US,python,0.00,0.00,2.00,1.00,0.00,2.00,3.00
581Aa2A0a9-60,J4.7,3.00,Undergraduate_Student,Male,2.00,US,JAVA,0.00,1.00,2.00,0.00,0.00,3.00,3.00
41eI0e3i-806:568Ae7g8c-7-1-2,J3.6,5.00,Hobbyist,Male,4.00,US,JAVA,0.00,0.00,0.00,2.00,1.00,0.00,3.00
604Ic-1I5i105,J8.54,5.00,Hobbyist,Male,10.00,US,Python,0.00,2.00,1.00,0.00,0.00,3.00,3.00
428iG0c6A-7-8-1,J5.35,5.00,Hobbyist,Male,8.00,US,JAVA,0.00,1.00,2.00,0.00,0.00,3.00,3.00
815aA-9g-4e44-8:182Ae3g-6i-30-5,J3.6,5.00,Professional_Developer,Male,5.00,US,JAVA,0.00,0.00,1.00,2.00,0.00,1.00,3.00
91gI-3I1g008,J3.6,5.00,Professional_Developer,Female,5.00,New Zealand,Python,2.00,0.00,0.00,1.00,0.00,0.00,1.00
1086ic4i3a96-2,J4.7,5.00,Graduate_Student,Female,5.00,INDIA,c,0.00,0.00,3.00,0.00,0.00,3.00,3.00
481cg-5C9A77-5,J8.54,3.00,Professional_Developer,Female,9.00,INDIA,PHP,0.00,0.00,2.00,1.00,0.00,2.00,3.00
1198eA8G-7e7-7-3:120Gc-7G5G4-5-4,J4.7,4.00,Professional_Developer,Female,10.00,US,jav,1.00,0.00,0.00,0.00,0.00,0.00,0.00
47Gi2a9C33-3,J6.51,4.00,Professional_Developer,Male,25.00,US,JAVA,1.00,0.00,1.00,1.00,0.00,1.00,2.00
820ga-8C6c5-33,J4.7,4.00,Undergraduate_Student,Male,4.00,US,JAVA,0.00,0.00,0.00,2.00,1.00,0.00,3.00
731Ee-5a-3I-241,J4.7,5.00,Graduate_Student,Male,5.00,INDIA,PHP,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1475GI2G-2E055,J1.8,3.00,Undergraduate_Student,Male,3.00,US,JAVA,0.00,0.00,1.00,1.00,0.00,1.00,2.00
278Ie8e9e091,J3.6,3.00,Professional_Developer,Male,4.00,INDIA,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
78cA-9e4a2-6-7,J1.8,5.00,Hobbyist,Female,1.00,US,none,0.00,1.00,2.00,0.00,0.00,3.00,3.00
92iC-9I-5C-1-9-7,J4.7,5.00,Undergraduate_Student,Male,3.00,US,JAVA,1.00,0.00,0.00,2.00,0.00,0.00,2.00
376Ii4i9e2-83,J8.54,5.00,Undergraduate_Student,Female,5.00,US,C,1.00,0.00,2.00,0.00,0.00,2.00,2.00
963eA7C5A9-8-1,J4.7,5.00,Undergraduate_Student,Male,8.00,US,JAVA,0.00,0.00,2.00,0.00,1.00,2.00,3.00
1427iI-5G6C-1-36,J4.7,5.00,Graduate_Student,Male,2.00,US,JAVA,0.00,1.00,1.00,0.00,0.00,2.00,2.00
1209ci-9E-1I0-11,J6.51,3.00,Undergraduate_Student,Male,3.00,US,JAVA,0.00,0.00,1.00,2.00,0.00,1.00,3.00
107Ce2c-1i556:801ei3E-4g6-34,J4.7,3.00,Professional_Developer,Male,4.00,INDIA,JAVA,0.00,0.00,2.00,1.00,0.00,2.00,3.00
654eA-3g-6E451,J4.7,3.00,Professional_Developer,Male,3.00,INDIA,developing,0.00,0.00,1.00,2.00,0.00,1.00,3.00
1635CE6g8g-39-8,J4.7,4.00,Undergraduate_Student,Male,6.00,US,Python,3.00,0.00,0.00,0.00,0.00,0.00,0.00
1031II1a-6a306,J3.6,4.00,Undergraduate_Student,Female,1.00,US,JAVA,1.00,0.00,0.00,0.00,0.00,0.00,0.00
729GG8e-8G-263:66AA0C-8E701,J6.51,5.00,Graduate_Student,Male,10.00,US,C++,0.00,1.00,2.00,0.00,0.00,3.00,3.00
1422ae-2e6E041,J2.24,5.00,Professional_Developer,Male,3.50,INDIA,JAVA,0.00,0.00,0.00,1.00,0.00,0.00,1.00
611eg3E-4C-3-1-2,J8.54,3.00,Professional_Developer,Male,14.00,PHILIPPINES,"PHP, VBA",0.00,0.00,1.00,2.00,0.00,1.00,3.00
1573Ic-9c3a-7-13,J4.7,5.00,Graduate_Student,Male,2.00,INDIA,"c, c++",0.00,0.00,2.00,1.00,0.00,2.00,3.00
1587ee-3A7e8-7-2,J4.7,4.00,Undergraduate_Student,Male,2.00,US,JAVA,0.00,0.00,0.00,1.00,1.00,0.00,2.00
398iA0G-4E1-78,J7.33,5.00,Hobbyist,Male,13.00,US,JAVA,0.00,2.00,1.00,0.00,0.00,3.00,3.00
559CG5c-6C171,J4.7,5.00,Hobbyist,Male,6.00,US,JAVA,0.00,0.00,2.00,1.00,0.00,2.00,3.00
582GG-6a-7c31-1:310Ei-2a5i-4-17,J3.6,5.00,Other,Male,10.00,INDIA,R,1.00,0.00,1.00,1.00,0.00,1.00,2.00
832cg-7G1i-462:73eI-8E-2g-985,J1.8,5.00,Undergraduate_Student,Male,7.00,US,JAVA,0.00,0.00,2.00,0.00,1.00,2.00,3.00
1432Ge-2A-6a-382,J4.7,4.00,Hobbyist,Male,10.00,US,Python,0.00,0.00,2.00,0.00,1.00,2.00,3.00
1005eg-1g2c-9-80,J4.7,5.00,Professional_Developer,Female,4.00,US,PHP,0.00,0.00,2.00,0.00,1.00,2.00,3.00
1605Aa1G7G-1-20,J3.6,5.00,Hobbyist,Female,9.00,US,PHP,1.00,0.00,1.00,0.00,0.00,1.00,1.00
7gG-1G-3C163,J7.33,4.00,Professional_Developer,Male,5.00,US,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
1516AC-8a0i-123,J1.8,5.00,Hobbyist,Male,5.00,US,C#,0.00,0.00,2.00,0.00,0.00,2.00,2.00
830gA-8i-9I517,J4.7,5.00,Professional_Developer,Male,6.00,INDIA,JAVA,0.00,1.00,0.00,2.00,0.00,1.00,3.00
78iA-8i-7C7-99,J4.7,3.00,Hobbyist,Male,1.00,US,JAVA,1.00,0.00,1.00,1.00,0.00,1.00,2.00
676ec6g2C1-2-9,J8.54,5.00,Hobbyist,Male,2.00,US,Ruby,0.00,2.00,1.00,0.00,0.00,3.00,3.00
33Ea8A-6e1-73,J4.7,5.00,Hobbyist,Male,1.00,US,JAVA,1.00,0.00,2.00,0.00,0.00,2.00,2.00
20ca-1G-6C-3-7-3:10AE4G-4a370:46AI8G-4A8-2-2,J4.7,5.00,Professional_Developer,Male,2.00,INDIA,JAVA,0.00,1.00,2.00,0.00,0.00,3.00,3.00
1367Cg2a9C-61-4,J4.7,4.00,Professional_Developer,Male,3.00,INDIA,JAVA,0.00,0.00,0.00,2.00,1.00,0.00,3.00
30eI-1g0G8-78,J4.7,4.00,Graduate_Student,Male,3.00,INDIA,JAVA,1.00,1.00,0.00,1.00,0.00,1.00,2.00
15cg-2i-7c-29-1,J4.7,4.00,Professional_Developer,Male,5.00,INDIA,JAVA,1.00,0.00,1.00,1.00,0.00,1.00,2.00
56gc-4g1E-7-43,J8.54,5.00,Undergraduate_Student,Male,3.00,US,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
1144aG9I5E-609,J4.7,3.00,Hobbyist,Female,2.00,US,JAVA,1.00,0.00,0.00,0.00,0.00,0.00,0.00
1574eC4g2e-1-31,J1.8,3.00,Undergraduate_Student,Female,1.00,US,JAVA,0.00,0.00,2.00,0.00,0.00,2.00,2.00
1359aA0A-5i-692,J4.7,3.00,Graduate_Student,Male,1.00,INDIA,c,0.00,1.00,1.00,0.00,0.00,2.00,2.00
1352EE-8i-9i75-2,J4.7,3.00,Graduate_Student,Male,2.00,madurai,JAVA,2.00,0.00,0.00,0.00,0.00,0.00,0.00
1553ce3G-9A-4-3-9,J4.7,4.00,Hobbyist,Male,2.00,US,JAVA,2.00,0.00,0.00,1.00,0.00,0.00,1.00
248aG-4a-2E723,J3.6,3.00,Professional_Developer,Male,4.00,INDIA,"C, C+",1.00,0.00,1.00,1.00,0.00,1.00,2.00
707eg-6e-2a05-2,J5.35,5.00,Professional_Developer,Male,3.00,INDIA,JAVA,0.00,1.00,0.00,2.00,0.00,1.00,3.00
66AC-5a0g-47-9:1443IA-7C-6e967,J4.7,5.00,Professional_Developer,Male,17.00,US,JAVA,0.00,1.00,0.00,1.00,0.00,1.00,2.00
96ge9G-1C-360,J4.7,3.00,Undergraduate_Student,Female,2.00,US,JAVA,0.00,0.00,0.00,3.00,0.00,0.00,3.00
1014aA5c4G-408:694aI4G-3E-8-3-6,J4.7,5.00,Professional_Developer,Male,3.00,INDIA,c#,0.00,0.00,3.00,0.00,0.00,3.00,3.00
887eE9a-3c66-1,J4.7,5.00,Undergraduate_Student,Male,3.00,US,C++,0.00,0.00,1.00,0.00,0.00,1.00,1.00
19cI3G-7E-6-6-2,J1.8,3.00,Other,Male,1.00,Sri Lanka,Python,0.00,0.00,1.00,1.00,0.00,1.00,2.00
722ce2G0i-857,J4.7,5.00,Undergraduate_Student,Male,2.00,US,JAVA,1.00,0.00,1.00,1.00,0.00,1.00,2.00
848Ia-5a5g-8-87,J1.8,5.00,Undergraduate_Student,Male,1.00,US,JAVA,0.00,0.00,1.00,0.00,0.00,1.00,1.00
1541iI-2a2i3-42,J3.6,4.00,Professional_Developer,Male,25.00,US,JAVA,3.00,0.00,0.00,0.00,0.00,0.00,0.00
1418aA4E-4c5-34,J4.7,4.00,Professional_Developer,Male,10.00,US,Python,0.00,0.00,2.00,1.00,0.00,2.00,3.00
1117AG3e4C-92-7,J4.7,5.00,Other,Female,2.00,US,PHP,0.00,1.00,0.00,1.00,0.00,1.00,2.00
747Ee7E0G0-10,J8.54,5.00,Graduate_Student,Female,5.00,INDIA,JAVA,1.00,0.00,2.00,0.00,0.00,2.00,2.00
546IE-7A1G4-6-9,J4.7,3.00,Undergraduate_Student,Male,4.00,US,JAVA,1.00,0.00,0.00,0.00,0.00,0.00,0.00
21cI-1i9c-41-7,J2.24,5.00,Professional_Developer,Female,8.00,INDIA,JAVA,0.00,0.00,2.00,1.00,0.00,2.00,3.00
1199gG-2a-9I-60-7,J6.51,3.00,Other,Male,3.00,US,VBA,1.00,0.00,0.00,0.00,0.00,0.00,0.00
46Gi0c0C9-16,J4.7,5.00,Graduate_Student,Male,7.00,US,BASH and Powershell,2.00,0.00,1.00,0.00,0.00,1.00,1.00
1023eg-8i1C506,J4.7,4.00,Professional_Developer,Female,2.00,US,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
1157ca-1E-5e-564,J4.7,4.00,Undergraduate_Student,Male,2.00,US,C,0.00,1.00,2.00,0.00,0.00,3.00,3.00
478CA-3g0a-1-4-2,J8.54,3.00,Graduate_Student,Male,2.00,US,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
347ci9I0e-1-60,J4.7,5.00,Hobbyist,Male,30.00,US,JAVA,0.00,0.00,1.00,0.00,0.00,1.00,1.00
970AG-5G9G0-86,J6.51,4.00,Hobbyist,Male,1.00,US,BASIC,0.00,0.00,1.00,1.00,1.00,1.00,3.00
1212cg-2a2A0-74,J4.7,4.00,Hobbyist,Male,7.00,US,3,1.00,0.00,2.00,0.00,0.00,2.00,2.00
52Ce2i0i-614,J4.7,5.00,Hobbyist,Male,15.00,US,"C++, Visual Basic",0.00,0.00,2.00,0.00,1.00,2.00,3.00
58eg1i0G-9-2-9,J4.7,5.00,Hobbyist,Male,5.00,US,c#,1.00,0.00,1.00,0.00,0.00,1.00,1.00
913Ec-1a-5G896,J2.24,3.00,Hobbyist,Male,5.00,US,C++,0.00,0.00,0.00,1.00,0.00,0.00,1.00
1245CI-3g-1a1-72,J4.7,5.00,Undergraduate_Student,Male,1.00,US,C++,2.00,0.00,1.00,0.00,0.00,1.00,1.00
1013GI0e-3C-869,J4.7,3.00,Professional_Developer,Female,5.00,INDIA,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
1297gA-5c-6e-204,J4.7,5.00,Professional_Developer,Female,6.00,INDIA,"PHP,MySQL",0.00,0.00,2.00,1.00,0.00,2.00,3.00
172Cg2C7i-8-1-4,J8.54,3.00,Graduate_Student,Female,6.00,US,JAVA,0.00,0.00,3.00,0.00,0.00,3.00,3.00
48gE-1G-6C9-22:113Ac-6g-2G-310,J4.7,3.00,Hobbyist,Male,3.00,US,php,0.00,0.00,2.00,1.00,0.00,2.00,3.00
1340Gi0e-4G-265,J4.7,5.00,Professional_Developer,Male,4.00,INDIA,JAVA,0.00,0.00,1.00,0.00,1.00,1.00,2.00
629Ee-9e7e9-32,J5.35,4.00,Professional_Developer,Male,8.00,INDIA,JAVA,0.00,1.00,2.00,0.00,0.00,3.00,3.00
