workerID,fileName,score,profession,gender,yearsOfProgramming,country,programmingLanguage,IDKLevel,TP,TN,FP,FN,Precision,Recall,Accuracy,Total,Column1,log,Correct Answers,Bug covering
452Ig6c-9G-502:768Ga1I8G-27-2:69eC6i-8G00-4,J1.8,4,Hobbyist,Male,35,US,Euphoria,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
40Ge-1c-3I-31-7,J1.8,4,Professional_Developer,Male,3,INDIA,HTML,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,1.00,0.30,0.00,1.00
90Ai-9A0a-8-28,J4.7,3,Hobbyist,Male,30,US,PHP,2.00,1.00,0.00,2.00,0.00,0.33,1.00,0.33,3.00,0.67,0.22,1.00,1.00
702ci-6A7G-38-5,J5.35,3,Professional_Developer,Female,10,INDIA,JAVA,0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
104eE-2E-5a05-8,J5.35,3,Professional_Developer,Male,2,US,VB.NET,2.00,1.00,0.00,2.00,0.00,0.33,1.00,0.33,3.00,0.67,0.22,1.00,1.00
98ce7A-4i-507,J1.8,4,Undergraduate_Student,Female,10,US,c#,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
669Ce-6e1a4-71,J5.35,3,Hobbyist,Male,15,US,Python,0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
1254gg5C-2C06-7,J6.51,5,Professional_Developer,Female,16,US,"C, Python",0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
270eG-5c6A3-46:65eI-2i-2I-9-36,J1.8,5,Professional_Developer,Male,20,US,C#,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
1222ae-7A3c2-7-6,J6.51,4,Other,Female,12,US,c++,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
607iG-5I0i314,J3.6,4,Hobbyist,Male,15,US,JAVA,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
749ei0A6I-20-1,J4.7,4,Professional_Developer,Male,15,US,C#,3.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
645ca0i0i87-5:419ee1I0A201,J4.7,5,Professional_Developer,Male,20,US,c++,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
1608Ic8c-7G-423,J4.7,4,Undergraduate_Student,Male,3,US,"c++, assembly",1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,1.00,0.30,0.00,1.00
33IE-8g0A9-7-8,J6.51,5,Professional_Developer,Male,8,US,JAVA,0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
75IG0G-7C6-30:286AC-3A-2g0-74:3aI0C8I-9-2-5,J3.6,4,Professional_Developer,Female,9,INDIA,PHP,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
59gA3i5E2-7-9:249IE-2a8E-92-1,J3.6,5,Graduate_Student,Male,12,Colombia,C++,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
813AE9c-9a-61-1,J4.7,3,Graduate_Student,Male,6,INDIA,JAVA,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
1598AG0g-8e-9-32,J1.8,4,Professional_Developer,Male,25,US,c++,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,2.00,1.00
178Ci-7G0E5-62,J3.6,4,Professional_Developer,Male,5,US,C,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
8EI3i9I949:931ii-1c6G-5-95,J5.35,3,Other,Female,10,US,JAVA,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
22Ce-7c-5C-5-49,J5.35,5,Professional_Developer,Male,8,US,JAVA,1.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
588IC-1C8c-145,J4.7,4,Hobbyist,Male,12,US,Python,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
1582ai0e2I065,J4.7,5,Graduate_Student,Male,2,INDIA,JAVA,1.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
1274Ie3c0A69-4,J6.51,5,Hobbyist,Female,1,US,bash,3.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
515IG1e8A-9-36,J7.33,5,Hobbyist,Male,33,US,JAVA,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,2.00,1.00
90Ge-2g-4c24-7,J4.7,5,Professional_Developer,Male,3.5,INDIA,JAVA,1.00,1.00,0.00,1.00,0.00,0.50,1.00,0.50,2.00,0.50,0.18,1.00,1.00
1524GC-4c-6e84-1,J4.7,5,Professional_Developer,Female,16,INDIA,JAVA,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,2.00,1.00
97ci7A-6e537:520EG-8e-4a-42-5,J7.33,5,Graduate_Student,Female,1,INDIA,JAVA,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,1.00,0.30,0.00,1.00
1506IC2A8e2-20:615gC7g-8i-21-3:85aA-1G-5e8-11:89cG-4a4I-5-15,J3.6,5,Undergraduate_Student,Male,4,US,JAVA,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
1176aG-6g3A-509,J6.51,3,Undergraduate_Student,Male,2,US,JAVA,2.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
486cI5E-5e4-98,J3.6,4,Professional_Developer,Male,10,US,JAVA,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
99IG-7e4g019,J4.7,5,Professional_Developer,Male,15,US,JAVA,0.00,1.00,0.00,2.00,0.00,0.33,1.00,0.33,3.00,0.67,0.22,1.00,1.00
214ea9G9i04-1,J3.6,3,Graduate_Student,Male,4,US,JAVA,1.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
9GI2A-8C06-5,J4.7,5,Professional_Developer,Male,8,US,JAVA,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
1010Cc7a3A2-9-6,J6.51,5,Professional_Developer,Male,35,US,"python, c++",0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
3AG2a6c-6-4-6:485Gg1i-6E-150:13GC7c-2c-843,J8.54,5,Other,Male,6,US,python,0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
661ee-4e-8c4-5-6,J8.54,4,Professional_Developer,Male,10,US,"C,C++,.NET",0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
1057Ce-9i-9E-105,J4.7,4,Undergraduate_Student,Male,2,US,C++,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.50,2.00,0.50,0.18,1.00,1.00
1449GA0I-4C14-1,J1.8,4,Undergraduate_Student,Male,4,US,php and C++,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
1033Ae4A5G2-3-4,J3.6,5,Professional_Developer,Male,25,US,"c#, c++",0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
1059Ec7i-9C0-64,J4.7,5,Professional_Developer,Male,19,US,JAVA,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,2.00,1.00
996ec0C2g-36-7:7ga-6A-2g8-9-1,J4.7,5,Hobbyist,Male,8,US,Python,1.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
106EC-9i-4a-718,J4.7,4,Other,Female,35,US,JAVA,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,2.00,1.00
702gc9c4a9-86,J3.6,3,Professional_Developer,Male,20,US,JAVA,1.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
513EI6i2E44-6,J8.54,4,Hobbyist,Male,5,US,JAVA,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
1007Ce4C-7e-8-3-7,J4.7,3,Professional_Developer,Female,2,US,JAVA,0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
1213eA-4e-9g0-98,J6.51,5,Professional_Developer,Male,10,US,C#,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
94CA2E-8e-485:14aa-9a8A-9-86,J3.6,5,Professional_Developer,Male,15,US,"HTML, CSS",0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.50,2.00,0.50,0.18,1.00,1.00
1138Ec-3g8I-6-1-9,J4.7,3,Graduate_Student,Male,3,INDIA,JAVA,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,1.00,0.30,0.00,1.00
545gg-4G7e00-1,J5.35,3,Hobbyist,Male,30,US,JAVA,2.00,1.00,0.00,2.00,0.00,0.33,1.00,0.33,3.00,0.67,0.22,1.00,1.00
957cC5C0E4-4-5,J4.7,5,Undergraduate_Student,Male,2,US,Ada,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
18ii-3A8a-2-2-3:17cC4a2e-8-2-6,J7.33,3,Hobbyist,Male,5,US,C#,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
346Gg6E5E475,J3.6,4,Professional_Developer,Male,4,US,JAVA,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
16GI2i-7c70-7,J4.7,4,Hobbyist,Female,2,US,python,1.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
1AI-7e-8i090,J4.7,4,Hobbyist,Male,35,US,Euphoria,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
40Ag4a-1c-41-2,J3.6,3,Professional_Developer,Female,3,US,JAVA,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
67AI-8G5A71-3:163Aa0i0a963:161eg5c5I-649,J1.8,5,Other,Male,30,US,"none at present, most C and ksh in past, C++,",0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
553Ic-5c-3E0-81,J8.54,4,Professional_Developer,Male,4,US,JAVA,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
188aC8i1a150,J1.8,5,Professional_Developer,Female,4,INDIA,JAVA,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,2.00,1.00
64eA1C3G808,J6.51,5,Professional_Developer,Male,6,Italy,JAVA,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.33,3.00,0.67,0.22,1.00,1.00
127IC0c0A-56-3,J5.35,4,Professional_Developer,Female,15,US,c sharp,0.00,1.00,2.00,0.00,0.00,1.00,1.00,1.00,3.00,0.00,0.00,3.00,1.00
781gE-5a0I-2-8-5,J3.6,3,Hobbyist,Male,35,US,Euphoria,0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
1583cG-5E-8C-6-50,J3.6,4,Professional_Developer,Male,25,US,C,0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
84CE-1i3I00-5,J5.35,5,Professional_Developer,Female,3,INDIA,JAVA,0.00,1.00,0.00,2.00,0.00,0.33,1.00,0.33,3.00,0.67,0.22,1.00,1.00
1558IC6A2G07-8,J1.8,3,Professional_Developer,Male,7,INDIA,JAVA,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,2.00,1.00
185ci-3a-7c2-76,J3.6,3,Professional_Developer,Female,9,INDIA,PHP,1.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.30,0.00,1.00
29ii5g2i4-31,J4.7,5,Professional_Developer,Male,2,US,JAVA,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
809cE-2g-5i-8-5-7,J4.7,3,Graduate_Student,Male,3,INDIA,JAVA,0.00,1.00,1.00,1.00,0.00,0.50,1.00,0.67,3.00,0.33,0.12,2.00,1.00
358Ce0A6e-50-7,J3.6,3,Professional_Developer,Male,3,US,JAVA,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.67,3.00,0.33,0.12,2.00,1.00
